city,timestamp,latitude,longitude
Citrus Heights,2019-09-16 20:29:45, 38.682044237475,  -121.26495651801
Citrus Heights,2019-09-16 19:57:08, 38.67861,  -121.26291
Citrus Heights,2019-09-16 19:54:51, 38.67753,  -121.27606
Citrus Heights,2019-09-16 18:24:58, 38.67567,  -121.27236
Citrus Heights,2019-09-16 18:06:20, 38.6792,  -121.2652
Citrus Heights,2019-09-16 14:15:44, 38.68208,  -121.26495
Citrus Heights,2019-09-15 17:35:11, 38.682,  -121.26502
Citrus Heights,2019-09-15 17:11:14, 38.67914,  -121.26535
Orangevale,2019-09-15 17:04:34, 38.67856,  -121.22519
Folsom,2019-09-15 16:29:24, 38.65814,  -121.18322
Orangevale,2019-09-15 15:52:37, 38.67787,  -121.19596
Citrus Heights,2019-09-15 13:53:51, 38.6821,  -121.26497
Citrus Heights,2019-09-14 23:30:50, 38.68204,  -121.26497
Citrus Heights,2019-09-14 22:33:43, 38.67857,  -121.26262
Citrus Heights,2019-09-14 22:31:49, 38.67858,  -121.26888
Citrus Heights,2019-09-14 22:29:23, 38.67824,  -121.29253
Citrus Heights,2019-09-14 20:12:13, 38.7064,  -121.32617
Citrus Heights,2019-09-14 20:03:09, 38.70735,  -121.32043
Citrus Heights,2019-09-14 19:59:45, 38.70706,  -121.30582
Citrus Heights,2019-09-14 19:19:16, 38.68107,  -121.33249
Sacramento,2019-09-14 18:57:39, 38.61614,  -121.42103
Sacramento,2019-09-14 18:50:44, 38.57399,  -121.46676
Sacramento,2019-09-14 18:32:12, 38.53006,  -121.47256
Sacramento,2019-09-14 16:39:31, 38.5966,  -121.44677
Sacramento,2019-09-14 15:27:58, 38.57896,  -121.45656
Sacramento,2019-09-14 12:17:54, 38.59622,  -121.44624
Sacramento,2019-09-14 12:06:24, 38.59842,  -121.45075
Parkway,2019-09-14 11:57:55, 38.52006,  -121.46491
Elk Grove,2019-09-14 11:50:37, 38.41365,  -121.39074
Elk Grove,2019-09-14 11:49:03, 38.38878,  -121.37392
Elk Grove,2019-09-14 11:39:59, 38.40112,  -121.33471
Citrus Heights,2019-09-14 10:53:23, 38.68154,  -121.26237
Citrus Heights,2019-09-14 04:55:56, 38.682,  -121.26507
North Highlands,2019-09-14 04:16:50, 38.65517,  -121.3661
Sacramento,2019-09-14 04:12:59, 38.61589,  -121.4213
Sacramento,2019-09-14 04:12:53, 38.61389,  -121.42358
Sacramento,2019-09-14 03:25:29, 38.59815,  -121.42325
Arden Town,2019-09-14 01:42:42, 38.59584,  -121.38274
Carmichael,2019-09-14 01:29:58, 38.63731,  -121.32761
Citrus Heights,2019-09-13 23:59:01, 38.68217,  -121.26493
Fair Oaks,2019-09-13 23:14:46, 38.66849,  -121.26213
Fair Oaks,2019-09-13 23:06:09, 38.6445,  -121.27222
Rancho Cordova,2019-09-13 22:56:58, 38.61816,  -121.26819
Rancho Cordova,2019-09-13 22:52:48, 38.61037,  -121.27042
Gold River,2019-09-13 22:50:45, 38.60679,  -121.27002
Cosumne,2019-09-13 22:31:24, 38.48147,  -121.24624
Elk Grove,2019-09-13 21:49:03, 38.38596,  -121.35345
Elk Grove,2019-09-13 21:42:31, 38.42388,  -121.33472
Rosemont,2019-09-13 21:24:57, 38.56505,  -121.33645
Rancho Cordova,2019-09-13 21:18:36, 38.61632,  -121.26894
Citrus Heights,2019-09-13 14:48:46, 38.68219,  -121.26491
Fair Oaks,2019-09-13 14:26:45, 38.66353,  -121.26214
Rancho Cordova,2019-09-13 14:12:00, 38.55895,  -121.24305
Elk Grove,2019-09-13 13:57:55, 38.43826,  -121.29238
Sheldon,2019-09-13 13:53:55, 38.40803,  -121.32564
Fair Oaks,2019-09-13 13:09:39, 38.66351,  -121.26255
Citrus Heights,2019-09-13 10:30:21, 38.68204,  -121.26499
Citrus Heights,2019-09-13 05:27:07, 38.68214,  -121.26497
Carmichael,2019-09-13 02:43:31, 38.63231,  -121.33658
Elk Grove,2019-09-13 01:45:13, 38.38596,  -121.35347
Sheldon,2019-09-13 01:33:31, 38.46343,  -121.26603
Rancho Cordova,2019-09-13 01:25:50, 38.54423,  -121.24287
Citrus Heights,2019-09-12 21:47:33, 38.68207,  -121.26509
Folsom,2019-09-12 18:27:23, 38.64933,  -121.11901
Citrus Heights,2019-09-12 13:58:31, 38.6821,  -121.26496
Citrus Heights,2019-09-12 04:27:59, 38.67857,  -121.2626
Citrus Heights,2019-09-12 04:26:59, 38.67836,  -121.27168
Sacramento,2019-09-12 02:42:31, 38.58031,  -121.50586
Sacramento,2019-09-12 01:18:36, 38.61036,  -121.5103
Citrus Heights,2019-09-12 01:04:34, 38.68103,  -121.3243
Citrus Heights,2019-09-12 00:59:32, 38.67842,  -121.28127
Citrus Heights,2019-09-12 00:32:18, 38.68338,  -121.26382
Citrus Heights,2019-09-11 23:46:44, 38.66469,  -121.27236
Orangevale,2019-09-11 20:03:29, 38.67835,  -121.22509
Fair Oaks,2019-09-11 19:33:57, 38.67817,  -121.26181
Citrus Heights,2019-09-11 12:52:37, 38.68209,  -121.265
Citrus Heights,2019-09-11 00:44:13, 38.68203,  -121.26502
Citrus Heights,2019-09-11 00:13:49, 38.68402,  -121.2632
Citrus Heights,2019-09-10 22:39:05, 38.67799,  -121.26668
Vin,2019-09-10 20:55:09, 38.67886,  -121.59494
Citrus Heights,2019-09-10 20:29:44, 38.67832,  -121.28436
Citrus Heights,2019-09-10 12:42:43, 38.68219,  -121.26497
Citrus Heights,2019-09-10 05:24:12, 38.68209,  -121.26497
Sacramento,2019-09-10 04:43:38, 38.57747,  -121.50632
Sacramento,2019-09-10 03:26:29, 38.58035,  -121.50588
