name,coordinate,creation_timestamp
Citrus Heights,"{'latitude': 38.682044237475, 'longitude': -121.26495651801}",1568665785
Citrus Heights,"{'latitude': 38.67861, 'longitude': -121.26291}",1568663828
Citrus Heights,"{'latitude': 38.67753, 'longitude': -121.27606}",1568663691
Citrus Heights,"{'latitude': 38.67567, 'longitude': -121.27236}",1568658298
Citrus Heights,"{'latitude': 38.6792, 'longitude': -121.2652}",1568657180
Citrus Heights,"{'latitude': 38.68208, 'longitude': -121.26495}",1568643344
Citrus Heights,"{'latitude': 38.682, 'longitude': -121.26502}",1568568911
Citrus Heights,"{'latitude': 38.67914, 'longitude': -121.26535}",1568567474
Orangevale,"{'latitude': 38.67856, 'longitude': -121.22519}",1568567074
Folsom,"{'latitude': 38.65814, 'longitude': -121.18322}",1568564964
Orangevale,"{'latitude': 38.67787, 'longitude': -121.19596}",1568562757
Citrus Heights,"{'latitude': 38.6821, 'longitude': -121.26497}",1568555631
Citrus Heights,"{'latitude': 38.68204, 'longitude': -121.26497}",1568503850
Citrus Heights,"{'latitude': 38.67857, 'longitude': -121.26262}",1568500423
Citrus Heights,"{'latitude': 38.67858, 'longitude': -121.26888}",1568500309
Citrus Heights,"{'latitude': 38.67824, 'longitude': -121.29253}",1568500163
Citrus Heights,"{'latitude': 38.7064, 'longitude': -121.32617}",1568491933
Citrus Heights,"{'latitude': 38.70735, 'longitude': -121.32043}",1568491389
Citrus Heights,"{'latitude': 38.70706, 'longitude': -121.30582}",1568491185
Citrus Heights,"{'latitude': 38.68107, 'longitude': -121.33249}",1568488756
Sacramento,"{'latitude': 38.61614, 'longitude': -121.42103}",1568487459
Sacramento,"{'latitude': 38.57399, 'longitude': -121.46676}",1568487044
Sacramento,"{'latitude': 38.53006, 'longitude': -121.47256}",1568485932
Sacramento,"{'latitude': 38.5966, 'longitude': -121.44677}",1568479171
Sacramento,"{'latitude': 38.57896, 'longitude': -121.45656}",1568474878
Sacramento,"{'latitude': 38.59622, 'longitude': -121.44624}",1568463474
Sacramento,"{'latitude': 38.59842, 'longitude': -121.45075}",1568462784
Parkway,"{'latitude': 38.52006, 'longitude': -121.46491}",1568462275
Elk Grove,"{'latitude': 38.41365, 'longitude': -121.39074}",1568461837
Elk Grove,"{'latitude': 38.38878, 'longitude': -121.37392}",1568461743
Elk Grove,"{'latitude': 38.40112, 'longitude': -121.33471}",1568461199
Citrus Heights,"{'latitude': 38.68154, 'longitude': -121.26237}",1568458403
Citrus Heights,"{'latitude': 38.682, 'longitude': -121.26507}",1568436956
North Highlands,"{'latitude': 38.65517, 'longitude': -121.3661}",1568434610
